#     Level Name             Demon Type      GDDL Difficulty
================================================================
1.    Aquatic Auroras      - Extreme Demon - 31.0
2.    Artificial Ascent    - Extreme Demon - 28.0
3.    Balengu Vortex       - Extreme Demon - 27.5
4.    Killbot              - Extreme Demon - 27.22
5.    Black Blizzard       - Extreme Demon - 27.0
6.    Blade of Justice     - Extreme Demon - 25.0
7.    Bloodbath            - Extreme Demon - 24.36
8.    Prismatic Haze       - Extreme Demon - 24.0
9.    INNARDS              - Extreme Demon - 23.33
10.   aftermath            - Extreme Demon - 23.0
11.   Heartbeat            - Extreme Demon - 23.0
12.   KINGSLAYER           - Extreme Demon - 23.0
13.   Cat Planet           - Extreme Demon - 22.8
14.   Red World Rebirth    - Extreme Demon - 22.0
15.   HURRICANE            - Extreme Demon - 22.0
16.   Allegiance           - Extreme Demon - 21.68
17.   Faith                - Extreme Demon - 21.6
18.   Retention            - Extreme Demon - 21.53
19.   I NEVER DREAM        - Extreme Demon - 21.4
20.   CYCLONE              - Extreme Demon - 21.36
21.   Forbidden Isle       - Extreme Demon - 21.11
22.   Cataclysm            - Extreme Demon - 20.95
23.   Azurite              - Extreme Demon - 20.91
24.   HyperSonic           - Extreme Demon - 20.9
25.   Incipient            - Extreme Demon - 20.85
26.   troll level          - Extreme Demon - 20.7
27.   Reverie              - Insane Demon  - 20.6
28.   Acu                  - Extreme Demon - 20.36
29.   Thanatophobia        - Insane Demon  - 20.01
30.   MOTHMELONS           - Insane Demon  - 19.92
31.   Excessive Compliment - Insane Demon  - 19.91
32.   ICE Carbon Diablo X  - Insane Demon  - 19.82
33.   CMYK                 - Insane Demon  - 19.6
34.   Arcadelocked         - Insane Demon  - 19.5
35.   Optic daydream       - Insane Demon  - 19.0
36.   Deadlocked v2        - Insane Demon  - 19.0
37.   hi                   - Insane Demon  - 18.93
38.   Plasma Pulse II      - Insane Demon  - 18.83
39.   Crimson Clutter      - Insane Demon  - 18.76
40.   kidsmoke             - Insane Demon  - 18.4
41.   UltraSonic           - Insane Demon  - 18.25
42.   Leyak                - Insane Demon  - 18.25
43.   Spectral Tentation   - Insane Demon  - 18.23
44.   Necropolis           - Insane Demon  - 18.2
45.   Temple of Destiny    - Insane Demon  - 18.18
46.   Lunatic Doom Machine - Insane Demon  - 18.04
47.   The Secret Box       - Insane Demon  - 17.89
48.   Flat Major           - Insane Demon  - 17.72
49.   Future Funk II       - Insane Demon  - 17.53
50.   X Adventure          - Insane Demon  - 17.52
51.   Bit Reaper           - Insane Demon  - 17.5
52.   BuTiTi II            - Insane Demon  - 17.5
53.   H B F S              - Insane Demon  - 17.5
54.   Acropolis            - Insane Demon  - 17.38
55.   Sadism               - Insane Demon  - 17.38
56.   Night Terrors        - Insane Demon  - 17.12
57.   Hyperio Technia      - Insane Demon  - 17.03
58.   Rearmed              - Insane Demon  - 17.0
59.   Firewall             - Insane Demon  - 16.83
60.   Arcane               - Insane Demon  - 16.76
61.   Supersonic           - Insane Demon  - 16.73
62.   8o                   - Insane Demon  - 16.73
63.   classic              - Insane Demon  - 16.31
64.   Fishbass             - Insane Demon  - 16.31
65.   Lit Fuse             - Insane Demon  - 16.24
66.   Rupture              - Insane Demon  - 16.22
67.   Shallow Dive         - Insane Demon  - 16.22
68.   CHROMA               - Insane Demon  - 16.14
69.   Carp Minor           - Insane Demon  - 16.09
70.   Hubert Jenkins       - Insane Demon  - 16.0
71.   SupremeLocked        - Insane Demon  - 16.0
72.   Poltergeist          - Insane Demon  - 15.82
73.   The Four Elements    - Insane Demon  - 15.7
74.   Plasma Pulse         - Insane Demon  - 15.69
75.   Super Mario Wave     - Insane Demon  - 15.67
76.   Windy Landscape      - Insane Demon  - 15.6
77.   Buff This            - Insane Demon  - 15.6
78.   Stereo Demoness      - Insane Demon  - 15.59
79.   Stalemate            - Insane Demon  - 15.49
80.   Magma Bound          - Insane Demon  - 15.46
81.   CraZy II             - Insane Demon  - 15.42
82.   Sharp Minor          - Insane Demon  - 15.33
83.   1929                 - Insane Demon  - 15.33
84.   Ultimate Demon Mix   - Insane Demon  - 15.3
85.   Diffuse              - Hard Demon    - 15.25
86.   Psychosis            - Hard Demon    - 14.99
87.   Mastermind           - Insane Demon  - 14.87
88.   The Furious          - Hard Demon    - 14.66
89.   Forest Temple        - Hard Demon    - 14.15
90.   ARANEO               - Hard Demon    - 14.13
91.   Speed RaXer          - Hard Demon    - 14.0
92.   Windy Circles        - Hard Demon    - 13.67
93.   Fairydust            - Hard Demon    - 13.63
94.   CraZy                - Hard Demon    - 13.36
95.   Deadly ClubStep      - Hard Demon    - 13.27
96.   Sparkling Hope       - Hard Demon    - 13.19
97.   overnight            - Hard Demon    - 13.15
98.   Deadlocked X         - Hard Demon    - 13.0
99.   Spacelocked          - Hard Demon    - 12.93
100.  Breakthrough         - Hard Demon    - 12.9
101.  Aleph 0              - Hard Demon    - 12.88
102.  Future Funk          - Hard Demon    - 12.82
103.  Future Funk          - Hard Demon    - 12.82
104.  Dance Massacre       - Hard Demon    - 12.65
105.  Two Invisible Eyes   - Hard Demon    - 12.6
106.  At The Top           - Hard Demon    - 12.39
107.  Forsaken Neon        - Hard Demon    - 12.27
108.  ObamA RebirtH        - Hard Demon    - 12.24
109.  Double Dash          - Hard Demon    - 12.21
110.  The Caverns          - Hard Demon    - 12.13
111.  Sedulous             - Hard Demon    - 12.08
112.  Desert Temple        - Hard Demon    - 12.05
113.  widder               - Hard Demon    - 12.0
114.  in rainbows          - Hard Demon    - 11.97
115.  Shadow Temple        - Hard Demon    - 11.86
116.  Pain Elemental       - Hard Demon    - 11.84
117.  MasterLocked         - Hard Demon    - 11.75
118.  ToE II v2            - Hard Demon    - 11.62
119.  Radioactive          - Hard Demon    - 11.62
120.  LastLocked           - Hard Demon    - 11.5
121.  Temple of Time       - Hard Demon    - 11.48
122.  Water Temple         - Hard Demon    - 11.41
123.  Nine Circles         - Hard Demon    - 11.29
